# File Name: SKIPPED.txt
# File Size: 1878046     
# File Date: 12/28/2025 10:21:19
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	TEXT
Holy-Bible---Ahirani---Ahirani-Bible	064	3JO	001	014	तर मी तुले लवकर भेटसु, अशी माले आशा शे, तवय आपण समक्ष बोलुत.
Holy-Bible---Ahirani---Ahirani-Bible	066	REV	012	018	अनी तो अजगर समुद्रना किनारवर जाईसन उभा राहिना.
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	064	3JO	001	014	አን ግደኖ በሬን ደቀሞሄተ ተብሳሃ አኣም፤ ህከ ወክት ሜጡበ እንክ ጉዕመርቹንከ ጠወዕናም።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	066	REV	012	018	ደህቹንኩ ባር ገበላን ሽፋር አሌን ኡሬእ።
Holy-Bible---Amo---Amo-Bible	041	MAR	009	046	
Holy-Bible---Amo---Amo-Bible	044	ACT	001	008	
Holy-Bible---Amo---Amo-Bible	064	3JO	001	014	Ndin caa inyene mune nin nizi, tima nin liru tiyenje atii.
Holy-Bible---Amo---Amo-Bible	066	REV	012	018	Ddragone uni wa yissin kitene licicin nbiyu kurawa.
Holy-Bible---Apal---Apali-Bible	066	REV	012	018	Lɨci sahula hekɨlɨ agaŋ vala ua avɨli hekɨlɨ caba heŋ hɨni uami.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	054	1TI	006	021	ٱلَّذِي إِذْ تَظَاهَرَ بِهِ قَوْمٌ زَاغُوا مِنْ جِهَةِ ٱلْإِيمَانِ.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	064	3JO	001	014	وَلَكِنَّنِي أَرْجُو أَنْ أَرَاكَ عَنْ قَرِيبٍ فَنَتَكَلَّمَ فَمًا لِفَمٍ.
Holy-Bible---Arabic---New-Arabic-Bible	054	1TI	006	021	وَإِذِ ادَّعَى بَعْضُهُمْ هَذِهِ الْمَعْرِفَةَ الْمَزْعُومَةَ، زَاغُوا عَنِ الإِيمَانِ.
Holy-Bible---Arabic---New-Arabic-Bible	064	3JO	001	014	فَآمُلُ أَنْ نَتَقَابَلَ عَنْ قَرِيبٍ، فَنَتَكَلَّمَ مُوَاجَهَةً!
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	009	Եւ արդ, դուք այսպէ՛ս աղօթեցէք».
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	011	Երբ նրանք գնացին, ահա զինուորներից ոմանք քաղաք եկան ու
Holy-Bible---Armenian---Armenian-Bible-Eastern	043	JOH	006	051	Ես եմ կենդանի հացը, որ երկնքից է իջած.
Holy-Bible---Armenian---Armenian-Bible-Western	043	JOH	006	051	Ե՛ս եմ կենարար հացը՝ որ իջայ երկինքէն:
Holy-Bible---Aruamu---Aruamu-Bible	064	3JO	001	014	Kɨ ghaze, kɨ gurumra izɨ nɨ batogh ga uaningɨn gan uaning mɨkɨmam.
Holy-Bible---Aruamu---Aruamu-Bible	066	REV	012	018	Egha kuruzim ongarir dadarimɨn tughav iti.
Holy-Bible---Arumanisht---Aromanian-Bible	064	3JO	001	014	Ma nãdãescu s-ti ved curundã shi si zburãm di aproapi.
Holy-Bible---Assamese---Assamese-Bible	041	MAR	015	028	
Holy-Bible---Assamese---Assamese-Bible	044	ACT	015	034	
Holy-Bible---Assamese---Assamese-Bible	064	3JO	001	014	বৰং আশা কৰোঁ যে, আপোনাক অতি সোনকালে দেখিবলৈ পাম আৰু তেতিয়া মুখা-মুখি হৈ কথা-বতৰা পাতিম।
Holy-Bible---Assamese---Assamese-Bible	066	REV	012	018	তেতিয়া সেই ড্ৰেগন গৈ সমুদ্ৰৰ তীৰত থিয় হ’ল।
Holy-Bible---Azerbaijani---Azerbaijani-Bible	040	MAT	017	021	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	040	MAT	018	011	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	040	MAT	023	014	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	041	MAR	007	016	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	041	MAR	009	044	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	041	MAR	009	046	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	041	MAR	011	026	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	041	MAR	015	028	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	042	LUK	017	036	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	042	LUK	023	017	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	043	JOH	005	004	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	044	ACT	008	037	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	044	ACT	015	034	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	044	ACT	028	029	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	045	ROM	016	024	
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	004	NUM	025	019	Ntɛ pəcuy pɔpɔŋ pencepər mɔ, kɔ MARIKI oloku ŋa sɔ moloku.
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	040	MAT	017	021	]
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	040	MAT	018	011	
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	040	MAT	023	014	]
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	041	MAR	009	044	
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	041	MAR	009	046	
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	041	MAR	011	026	
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	041	MAR	015	028	
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	064	3JO	001	014	Intola ta pəwon sɔ sənəŋkɛnɛ, mba iŋgbɛkər amera kəkɔnəŋk un, ilok-lokər nu patɛfərɛnɛ.
Holy-Bible---Baiso---Basio-Bible	064	3JO	001	014	አን ኤነ ኩ ድን አብድ የላታራ፤ እስደያ አዬስናና።
Holy-Bible---Baiso---Basio-Bible	066	REV	012	018	ዶቦንሳ ላቡ ግርዲ ጬካሌ ጉት አሌ።
Holy-Bible---Bangwinji---Bangwinji-Bible	042	LUK	017	036	
Holy-Bible---Bangwinji---Bangwinji-Bible	042	LUK	022	007	
Holy-Bible---Bangwinji---Bangwinji-Bible	066	REV	012	018	La drangon nya ti dor yabum, wi kabam wi mam.
Holy-Bible---Beami---Bedamuni-Bible	002	EXO	007	003	-
Holy-Bible---Beami---Bedamuni-Bible	002	EXO	027	004	-
Holy-Bible---Beami---Bedamuni-Bible	002	EXO	038	004	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	003	003	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	003	009	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	003	014	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	004	008	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	006	004	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	006	016	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	007	003	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	007	032	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	008	020	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	011	002	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	011	029	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	013	040	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	014	055	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	015	005	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	017	003	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	018	012	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	018	026	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	021	002	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	021	011	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	022	004	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	022	015	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	022	017	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	022	026	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	025	006	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	025	048	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	026	034	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	026	040	-
Holy-Bible---Beami---Bedamuni-Bible	003	LEV	027	009	-
Holy-Bible---Beami---Bedamuni-Bible	004	NUM	005	005	-
Holy-Bible---Beami---Bedamuni-Bible	004	NUM	014	024	-
Holy-Bible---Beami---Bedamuni-Bible	004	NUM	033	038	-
Holy-Bible---Beami---Bedamuni-Bible	005	DEU	001	020	-
Holy-Bible---Beami---Bedamuni-Bible	005	DEU	004	045	-
Holy-Bible---Beami---Bedamuni-Bible	005	DEU	015	004	-
Holy-Bible---Beami---Bedamuni-Bible	005	DEU	016	005	-
Holy-Bible---Beami---Bedamuni-Bible	005	DEU	019	002	-
Holy-Bible---Beami---Bedamuni-Bible	005	DEU	025	013	-
Holy-Bible---Beami---Bedamuni-Bible	005	DEU	028	054	-
Holy-Bible---Beami---Bedamuni-Bible	005	DEU	028	056	-
Holy-Bible---Beami---Bedamuni-Bible	005	DEU	029	010	-
Holy-Bible---Beami---Bedamuni-Bible	005	DEU	032	040	-
Holy-Bible---Beami---Bedamuni-Bible	006	JOS	003	014	-
Holy-Bible---Beami---Bedamuni-Bible	006	JOS	006	008	-
Holy-Bible---Beami---Bedamuni-Bible	006	JOS	006	012	-
Holy-Bible---Beami---Bedamuni-Bible	006	JOS	008	025	-
Holy-Bible---Beami---Bedamuni-Bible	006	JOS	011	017	-
Holy-Bible---Beami---Bedamuni-Bible	006	JOS	014	003	-
Holy-Bible---Beami---Bedamuni-Bible	006	JOS	019	015	-
Holy-Bible---Beami---Bedamuni-Bible	006	JOS	021	009	-
Holy-Bible---Beami---Bedamuni-Bible	006	JOS	021	041	-
Holy-Bible---Beami---Bedamuni-Bible	007	JDG	001	018	-
Holy-Bible---Beami---Bedamuni-Bible	007	JDG	013	015	-
Holy-Bible---Beami---Bedamuni-Bible	007	JDG	013	020	-
Holy-Bible---Beami---Bedamuni-Bible	007	JDG	014	012	-
Holy-Bible---Beami---Bedamuni-Bible	007	JDG	016	024	-
Holy-Bible---Beami---Bedamuni-Bible	007	JDG	018	027	-
Holy-Bible---Beami---Bedamuni-Bible	007	JDG	019	010	-
Holy-Bible---Beami---Bedamuni-Bible	007	JDG	019	012	-
Holy-Bible---Beami---Bedamuni-Bible	007	JDG	020	015	-
Holy-Bible---Beami---Bedamuni-Bible	007	JDG	020	022	-
Holy-Bible---Beami---Bedamuni-Bible	007	JDG	020	027	-
Holy-Bible---Beami---Bedamuni-Bible	008	RUT	002	015	-
Holy-Bible---Beami---Bedamuni-Bible	009	1SA	002	013	-
Holy-Bible---Beami---Bedamuni-Bible	009	1SA	003	006	-
Holy-Bible---Beami---Bedamuni-Bible	009	1SA	007	003	-
Holy-Bible---Beami---Bedamuni-Bible	009	1SA	009	012	-
Holy-Bible---Beami---Bedamuni-Bible	009	1SA	025	002	-
Holy-Bible---Beami---Bedamuni-Bible	010	2SA	002	004	-
Holy-Bible---Beami---Bedamuni-Bible	010	2SA	003	009	-
Holy-Bible---Beami---Bedamuni-Bible	010	2SA	007	010	-
Holy-Bible---Beami---Bedamuni-Bible	010	2SA	008	011	-
Holy-Bible---Beami---Bedamuni-Bible	010	2SA	013	037	-
Holy-Bible---Beami---Bedamuni-Bible	010	2SA	017	028	-
Holy-Bible---Beami---Bedamuni-Bible	010	2SA	024	011	-
Holy-Bible---Beami---Bedamuni-Bible	011	1KI	003	011	-
Holy-Bible---Beami---Bedamuni-Bible	011	1KI	004	022	-
Holy-Bible---Beami---Bedamuni-Bible	011	1KI	007	002	-
